Plant.Code,huc_12,YEAR,Plant.Name,County,State,Name.of.Water.Source,coolingType,ModelType,Plant.level_dom_fuel,general_mover,Net.Generation.Year.To.Date,cu_mgd,cu_lower_mgd,cu_upper_mgd,wd_mgd,wd_lower_mgd,wd_upper_mgd
3809,020801070204,2012,Yorktown,York,VA,York River,Once-through saline,OS,coal,ST,749047,0,0,0,66.1353210518886,30.066498594063,495.60291873701
6168,020801060602,2012,North Anna,Louisa,VA,North Anna River,Once-through fresh,lake,nuclear,ST,15333190,31.0189564267254,24.1947860128458,37.843126840605,1621.16308101948,736.82845963962,12159.3754640375
7213,030101020601,2012,Clover,Halifax,VA,Roanoke River,Recirculating Tower,tower,coal,ST,4400124,5.57971673856016,4.57536772561933,6.58406575150099,7.81160343398423,5.14728869132175,13.168131503002
10071,020802080206,2012,Portsmouth Genco LLC,PORTSMOUTH CITY,VA,Wells,Recirculating Tower,tower,coal,ST,32124,0.0947061207168122,0.077659018987786,0.111753222445838,0.132588569003537,0.0873663963612593,0.223506444891677
10377,020802060201,2012,James River Genco LLC,HOPEWELL CITY,VA,Municipal,Recirculating Tower,tower,coal,ST,35556,0,0,0,0,0,0
10633,020802060201,2012,Hopewell Cogeneration,Prince George,VA,Municipality,Recirculating Tower,tower,gas,NGCC,1246207.002,0.979885241920893,0.803505898375132,1.15626458546665,1.37183933868925,0.903944135672023,2.31252917093331
10771,020802060201,2012,Hopewell Power Station,Hopewell City,VA,municipality,Recirculating Tower,tower,coal,ST,24935,0.0463649821162114,0.0380192853352934,0.0547106788971295,0.064910974962696,0.042771696002205,0.109421357794259
10774,030102011206,2012,Southampton Power Station,Southampton,VA,Wells,Recirculating Tower,tower,coal,ST,37440,0.135929569016219,0.1114622465933,0.160396891439139,0.190301396622707,0.125395027417462,0.320793782878277
50658,020700100803,2012,Covanta Fairfax Energy,Fairfax,VA,Municipal,Recirculating Tower,tower,biomass,ST,580452,1.47196186165752,1.20700872655917,1.73691499675588,2.06074660632053,1.35788481737907,3.47382999351176
50966,020802060101,2012,Bellmeade Power Station,Richmond,VA,Municipal,Recirculating Tower,tower,gas,NGCC,1199452.001,0.99674007360222,0.81732686035382,1.17615328685062,1.39543610304311,0.919492717898047,2.35230657370124
52007,030101020903,2012,Mecklenburg Power Station,Mecklenburg,VA,John H Kerr Reservoir,Recirculating Tower,tower,coal,ST,170551,0.306580746928451,0.25139621248133,0.361765281375572,0.429213045699831,0.282820739041496,0.723530562751144
52118,030101011305,2012,Multitrade of Pittsylvania LP,Pittsylvania,VA,Roanoke River,Recirculating Tower,tower,biomass,ST,340830,0.688329655443425,0.564430317463609,0.812228993423242,0.963661517620795,0.63498410714656,1.62445798684648
54081,020802060101,2012,Spruance Genco LLC,City of Richmond,VA,James River,Recirculating Tower,tower,coal,ST,202870,0.0198465164276979,0.0162741434707122,0.0234188893846835,0.027785122998777,0.0183084114045513,0.046837778769367
54304,020801040201,2012,Birchwood Power,King George,VA,Rappahannock River,Recirculating Tower,tower,coal,ST,406071,0.576692310520303,0.472887694626649,0.680496926413958,0.807369234728425,0.53199865645498,1.36099385282792
55439,020802040502,2012,Tenaska Virginia Generating Station,Fluvanna,VA,James River,Recirculating Tower,tower,gas,NGCC,5349183,2.7467646246145,2.25234699218389,3.24118225704511,3.8454704744603,2.53389036620687,6.48236451409021
56807,020802031502,2012,Bear Garden,Buckingham,VA,James River (ECTI),Recirculating Tower,tower,gas,NGCC,3998496.006,1.99561247052051,1.63640222582681,2.3548227152142,2.79385745872871,1.84095250405517,4.70964543042839
3775,060102050403,2013,Clinch River,Russell,VA,Clinch River,Recirculating Tower,tower,coal,ST,898073,1.35603653666777,1.11194996006757,1.60012311326797,1.89845115133488,1.25094370507602,3.20024622653594
3776,050500020602,2013,Glen Lyn,Giles,VA,New River,Once-through fresh,river,coal,ST,172129,0.20559931514781,0.160367465815292,0.250831164480328,19.4620789404016,8.86591188252473,144.814101718198
3796,020802031502,2013,Bremo Bluff,Fluvanna,VA,James River,Once-through fresh,river,coal,ST,482495,0.41859921633072,0.326507388737962,0.510691043923479,46.781139285349,21.2370087168554,352.35611530026
3797,020802060106,2013,Chesterfield,Chesterfield,VA,James River,Once-through fresh,river,multi-fuel,multiple,18081188.018,4.87320953824042,3.80110343982752,5.94531563665331,598.709310957311,271.305686132425,4537.96739540862
3803,020802080203,2013,Chesapeake,Chesapeake,VA,S Branch Elizabeth River,Once-through saline,OS,coal,ST,1549722,0,0,0,149.103413916561,67.7315617287399,1120.51040557589
3804,020700110106,2013,Possum Point,Prince William,VA,Potomac River,Complex,complex,gas,complex,7456672,1.88676224073755,1.54714503740479,2.22637944407031,16.9837510297722,8.25210507144507,112.435665920206
3806,020802060704,2013,Surry,Surry,VA,James River,Once-through saline,OS,nuclear,ST,14320958,0,0,0,1487.78550820454,675.21824199152,11217.2696486268
3809,020801070204,2013,Yorktown,York,VA,York River,Once-through saline,OS,coal,ST,917012,0,0,0,82.2964033522706,37.3885306190654,618.20926781149
6168,020801060602,2013,North Anna,Louisa,VA,North Anna River,Once-through fresh,lake,nuclear,ST,15005273,30.3015917530939,23.6352415674132,36.9679419387745,1593.22646256808,724.58313431878,11924.9938751083
7213,030101020601,2013,Clover,Halifax,VA,Roanoke River,Recirculating Tower,tower,coal,ST,5919319,7.24244696168828,5.93880650858439,8.54608741479217,10.1394257463636,6.68115732215744,17.0921748295843
10071,020802080206,2013,Portsmouth Genco LLC,PORTSMOUTH CITY,VA,Wells,Recirculating Tower,tower,coal,ST,47855,0.116032009883929,0.0951462481048217,0.136917771663036,0.1624448138375,0.107039529117924,0.273835543326072
10377,020802060201,2013,James River Genco LLC,HOPEWELL CITY,VA,Municipal,Recirculating Tower,tower,coal,ST,47360,0,0,0,0,0,0
